id,speed,ball,grouped,SysBias,Amplitude,Theta
13,80,3,1,4.500861598,21.65419429,2.14082688
14,80,3,1,-5.93993145,32.58527962,1.328464819
15,80,3,1,10.33255432,8.881679574,-1.573669632
16,80,3,1,-29.58635666,15.07063264,1.255590514
17,80,3,1,-6.270345517,0.602592744,2.469306662
18,80,3,1,-15.95880428,12.04258028,1.743443547
19,80,3,1,-13.75304888,23.90546801,1.593637515
01,160,3,2,-11.62674352,16.80439282,0.593614036
02,160,3,2,-11.43172196,21.23977626,1.389390725
03,160,3,2,-28.239656,32.25033684,1.528858996
04,160,3,2,4.348750799,8.030444914,1.713419424
05,160,3,2,-6.330269609,6.924441653,2.494207784
07,160,3,2,-21.67865487,11.39638556,-2.06531019
08,160,3,2,-27.35473238,29.9659796,0.86944526
11,160,3,2,-18.1800565,6.065476035,0.566082165
12,160,3,2,-9.599607738,20.57651151,-2.164951928
13,160,3,2,-0.56180516,28.81315713,1.888528342
14,160,3,2,-6.454366346,35.69767435,1.475001139
15,160,3,2,10.14468579,9.090620946,-2.664785443
16,160,3,2,-16.64554188,14.14004856,1.444208349
17,160,3,2,-8.683788948,6.475784136,1.853045717
18,160,3,2,-12.85496686,13.9828681,2.792025118
19,160,3,2,-10.86525311,34.94569072,1.623920051
01,240,3,2,-10.83048152,20.07509426,1.079554646
02,240,3,2,-10.74120654,28.90836315,1.15364675
03,240,3,2,-18.27562046,36.26473905,1.791244934
04,240,3,2,-0.121407111,9.45361173,2.206021764
05,240,3,2,-2.772743222,6.246130419,2.739613193
07,240,3,2,-22.16417405,5.023814513,-2.069525494
08,240,3,2,-24.7918478,28.02661872,1.070679008
11,240,3,2,-20.29796129,9.462478728,0.381253206
12,240,3,2,-18.3003867,25.01927523,-3.061255506
13,240,3,2,0.091680956,23.4633104,1.743760249
14,240,3,2,-4.562662946,41.59098854,1.61224893
15,240,3,2,2.551165425,5.217367812,2.691010397
16,240,3,2,-19.89590949,10.24639631,1.085648122
17,240,3,2,-2.796592431,8.578056284,1.297399053
18,240,3,2,-16.834583,8.237439559,-0.762709589
19,240,3,2,-10.17205884,37.43326706,1.850531617
01,320,3,2,-12.11402065,17.36602889,0.466187511
02,320,3,2,-6.716767994,24.61636452,1.650493568
03,320,3,2,-26.42672469,31.08045926,1.541475423
04,320,3,2,1.263023434,11.60204203,2.14744013
05,320,3,2,-3.966633627,9.271332358,2.561427801
07,320,3,2,-16.44666042,9.425749078,-1.865631974
08,320,3,2,-24.83417136,33.44638322,0.945510548
11,320,3,2,-21.28329153,8.981431357,0.664801369
12,320,3,2,-25.16382753,2.395996707,1.386396015
13,320,3,2,21.54969461,25.11364999,3.070965595
14,320,3,2,-8.376176301,33.26771496,1.178870296
15,320,3,2,13.51590313,9.632792312,2.530744856
16,320,3,2,-16.4650868,13.49842299,1.653708236
17,320,3,2,-8.321834335,11.3886429,0.792903712
18,320,3,2,-23.02363299,11.68720522,1.312307472
19,320,3,2,-13.77311973,35.695781,1.641369859
01,20,4,1,-9.604395137,9.327720325,-0.574909711
02,20,4,1,-21.054975,1.893430429,-3.04462971
03,20,4,1,-24.63531869,10.56254281,1.712305604
04,20,4,1,-19.34414542,11.70608215,0.514121681
05,20,4,1,-11.36309632,14.94377062,1.858368242
07,20,4,1,-18.83890807,12.08112023,-1.508425179
08,20,4,1,-39.56367997,29.07563871,1.061553656
11,20,4,1,-20.91178436,7.459543021,0.74508983
12,20,4,1,-23.00458564,9.737117013,-2.44160295
13,20,4,1,15.6796925,6.712347886,-0.855509609
14,20,4,1,2.992412329,32.81980711,1.488541788
15,20,4,1,-8.969449565,11.15251292,-1.860014963
16,20,4,1,-18.19550097,14.06465936,1.078132152
17,20,4,1,-16.92006164,11.95954422,0.484822594
18,20,4,1,-22.4325774,10.90293224,1.605759755
19,20,4,1,-12.73054003,15.43231135,1.587801842
01,40,4,1,-6.818224266,11.34712938,0.636108821
02,40,4,1,-21.2079508,9.51157499,1.433830535
03,40,4,1,-23.72268644,18.81384469,1.238268568
04,40,4,1,-11.73527583,12.36070796,-0.092072695
05,40,4,1,-9.609520719,18.76226772,2.079468359
07,40,4,1,-18.14116327,14.69706234,-1.067789062
08,40,4,1,-32.39965339,19.04697799,1.427040823
11,40,4,1,-26.32969596,3.97791051,0.555256303
12,40,4,1,-18.98532749,11.82777323,-2.683013055
13,40,4,1,10.77867145,10.47628967,1.805299627
14,40,4,1,0.534259342,34.32423714,1.643831782
15,40,4,1,-9.182318432,14.52670997,-1.890396544
16,40,4,1,-20.7065719,18.81013574,0.730660715
17,40,4,1,-33.7203385,21.78884777,0.319057726
18,40,4,1,-18.34972786,14.43451205,1.322083849
19,40,4,1,-13.56133026,18.74747284,1.058628892
01,80,4,1,-6.026741929,15.49844286,0.960755948
02,80,4,1,-22.08702729,5.781055179,1.209285494
03,80,4,1,-28.89917061,14.85705877,1.084203119
04,80,4,1,-12.79283233,11.92581714,1.246021622
05,80,4,1,-8.303915529,26.96796327,1.983534303
07,80,4,1,-18.04666102,20.74732972,-1.382923962
08,80,4,1,-39.87786318,18.69087928,0.886198276
11,80,4,1,-27.97482395,5.437819918,1.114071428
12,80,4,1,-28.31397536,8.390467169,-1.915508951
13,80,4,1,9.565978851,15.95055259,1.217347987
14,80,4,1,3.132801583,36.75908304,1.42011795
15,80,4,1,-13.95374442,3.178714452,0.549469084
16,80,4,1,-16.23814915,18.06500243,1.21594952
17,80,4,1,-38.34639972,10.19625035,0.771857042
18,80,4,1,-20.5256524,10.66678995,2.202872492
19,80,4,1,-11.49557766,21.35494535,1.165166907
01,160,4,2,-6.277264689,8.594424644,0.607618023
02,160,4,2,-23.66826798,5.612402946,1.184271612
03,160,4,2,-28.848227,21.80630046,1.395137001
04,160,4,2,-12.64051834,7.490722974,0.809147398
